Titre,Est_Predateur,oa_works,oa_cited,oa_found,cr_has_doi,Publisher,Impact_Ratio
Euclid,0,23470,33480,1,1,Universitas swadaya Gunung Djati,1.4264411401303736
Düzce Üniversitesi Teknik Bilimler Dergisi,0,15,1,1,1,Duzce University,0.0625
Textures,0,134,2,1,1,Universite Jean Moulin Lyon 3,0.014814814814814815
Revista Científica Anfibios,0,144,212,1,1,Escuela de Formacion de Infanteria de Marina,1.4620689655172414
EPH Journal/Engineers Publication House,1,0,0,0,1,Green Publication,0.0
Pharmaceutical Research Foundation,1,0,0,0,1,Oxford University Press,0.0
Molecular Biomedicine,0,326,5186,1,1,Springer Science and Business Media LLC,15.859327217125383
Social Inquiry into Well-Being,0,29,172,1,1,Mykolas Romeris University,5.733333333333333
Journal of L.M. Montgomery Studies,0,0,0,0,1,"Robertson Library, University of Prince Edward Island",0.0
The Criterion: An International Journal in English,1,0,0,0,1,Oxford University PressOxford,0.0
DoisPontos,0,756,491,1,1,Universidade Federal do Parana,0.6486129458388376
sui-generis,0,287,112,1,1,sui generis,0.3888888888888889
International Research Journals,1,158,967,1,1,Radio Cosmology Research Laboratory Universiti Malaya,6.081761006289308
International Journal of Naval Architecture and Ocean Engineering,0,1157,17913,1,1,Elsevier BV,15.468911917098445
Clinical Management Issues,0,346,261,1,1,Seed SRL,0.7521613832853026
Palliative Medicine in Practice,0,332,306,1,1,VM Media SP. zo.o VM Group SK,0.918918918918919
PaperSciences Research Publisher,1,0,0,0,1,Yixin Publisher,0.0
Journal of Multidisciplinary Engineering Science and Technology,1,173,44,1,1,Upubscience Publisher,0.25287356321839083
Revista Gearte,0,491,225,1,1,Universidade Federal do Rio Grande do Sul,0.4573170731707317
St. Anne Mary Publication,1,0,0,0,1,Cambridge University Press,0.0
"International Journal of Civil, Mechanical and Energy Science",1,85,76,1,1,AI Publications,0.8837209302325582
Revue Internationale de Pédagogie de l’Enseignement Supérieur,0,367,1132,1,1,OpenEdition,3.0760869565217392
Main Group Metal Chemistry,0,1754,8415,1,1,Walter de Gruyter GmbH,4.794871794871795
Academic Direct Publishing House,1,0,0,0,1,International Journal of Experimental Research and Review,0.0
Ahmar Metastasis Health Journal,0,153,69,1,1,Yayasan Ahmad Mansyur Nasirah,0.44805194805194803
Вестник антропологии,0,796,259,1,1,Institute of Ethnology and Anthropology RAS,0.32496863237139273
Contemporary Sociological Global Review,1,0,0,0,1,Humanity Only - HO,0.0
Rivista di Storia dell'Università di Torino,0,0,0,0,1,Progettinrete Srl,0.0
Iraqi Journal of Chemical and Petroleum Engineering,0,864,3010,1,1,Iraqi Journal of Chemical and Petroleum Engineering,3.479768786127168
Acta Kinesiologica,1,411,777,1,1,"Physical Education Pedagogues Association, Ljubuski",1.8859223300970873
Bioscience Research & Educational Institute [Link dead as of 2012-11-14],1,0,0,0,1,Routledge,0.0
Eurasian Union of Scientists,1,2118,709,1,1,Logic + LLC,0.33459178857951866
"Journal of Agriculture, Forestry & Environmental Sciences",1,0,0,0,1,Vinnytsia National Agrarian University,0.0
Innovative Space of Scientific Research,1,0,0,0,1,Publishing House “Baltija Publishing”,0.0
RG Education Society,1,0,0,0,1,Consulting Company Ucom,0.0
International Journal of Pharmaceutical Quality Assurance and Pharmaceutical Analysis,1,0,0,0,1,Dr. Yashwant Research Labs Pvt. Ltd.,0.0
Translational Medicine and Biotechnology,1,0,0,0,1,Elsevier,0.0
American Journal of Advanced Drug Delivery,1,245,1349,1,1,Scitechnol Biosoft Pvt. Ltd.,5.483739837398374
"International Journal of Management, Economics and Social Sciences",1,79,648,1,1,CRC Press,8.1
Atmospheric Chemistry and Physics,0,15225,1093068,1,1,Copernicus GmbH,71.7895704715618
Journal of Electrical Engineering and Science,1,7237,38096,1,1,Bilingual Publishing Group,5.263332412268582
Growing Science Publishing Company,1,0,0,0,1,Springer Publishing Company,0.0
MediaTor,0,364,1829,1,1,Rowman & Littlefield Publishing Group,5.010958904109589
Science and Technology Central,1,3078,4703,1,1,American Chemical Society (ACS),1.5274439753166613
International Journal of Review in Life Sciences,1,53,16,1,1,GP Innovations Pvt. Ltd.,0.2962962962962963
SEISENSE Business Review,0,48,310,1,1,SEISENSE,6.326530612244898
International Journal of Medical Sciences and Health Care,1,2,0,1,1,European International Journal of Multidisciplinary Research and Management Studies,0.0
Evidence-Based Nursing Research,0,235,474,1,1,EE Publisher,2.0084745762711864
Volupté,0,0,0,0,0,Unknown,0.0
Turkish Archives of Otorhinolaryngology,0,113,1299,1,1,Galenos Yayinevi,11.394736842105264
Key Research Journals,1,0,0,0,1,Oxford University Press,0.0
Streem Journal,1,0,0,0,0,Unknown,0.0
Journal of Applied Structural Equation Modeling,0,101,3085,1,1,Oxford University Press,30.245098039215687
Design Science,0,323,4681,1,1,Cambridge University Press (CUP),14.447530864197532
International Journal of Technology and Computing,1,110,417,1,1,IGI Global,3.7567567567567566
Scholarly Research Publisher,1,0,0,0,1,Yixin Publisher,0.0
Ambit Journals,1,0,0,0,1,Delta State College of Education,0.0
Tarih Tetkikleri Dergisi,0,0,0,0,1,Ataturk Universitesi,0.0
วารสารวิทยาการสารสนเทศและเทคโนโลยีประยุกต์,0,0,0,0,0,Unknown,0.0
Archers & Elevators Publishing House,1,0,0,0,1,AG Publishing House,0.0
Journal of Bioscience and Technology,1,0,0,0,1,Oxford University Press (OUP),0.0
Institute of Research Engineers and Scientists,1,0,0,0,1,Rowman & Littlefield Publishers,0.0
Frontiers in Fungal Biology,0,279,2541,1,1,Frontiers Media SA,9.075
Mayéutica: Revista Científica de Humanidades y Artes,0,1,0,1,1,Even3,0.0
Paper Publications,1,0,0,0,1,MDPI AG,0.0
علوم محیطی,0,21,14,1,1,Omdurman Islamic University,0.6363636363636364
International Journal of Current Research,1,2825,6066,1,1,Sciencedomain International,2.1464968152866244
International Journal of Advanced Engineering Research and Applications,1,69,29,1,1,Bold Rapid Net. Pvt. Ltd.,0.4142857142857143
Neurology and Therapy,0,846,12948,1,1,Springer Science and Business Media LLC,15.28689492325856
Enliven Archive,1,13,48,1,1,Enliven Archive,3.4285714285714284
Impact Journals,1,8540,233339,1,1,Oxford University Press,27.319868867814073
Research Publishing Group,1,3029,5929,1,1,Academic Frontiers Publishing Group,1.9567656765676569
Stem Cell Research,0,5186,203316,1,1,Elsevier BV,39.19722382880278
Children,0,5608,142716,1,1,Routledge,25.44410768407916
Studii si Cercetari Filologice: Seria Limbi Straine Aplicate,0,0,0,0,1,Pro Universitaria,0.0
Pharmacologia,1,406,2472,1,1,Insight Knowledge,6.073710073710074
Journal of Global Health,0,2654,50727,1,1,University of Arizona Press,19.10621468926554
American Based Research Journal,1,0,0,0,1,Intellect Books,0.0
Croatian Medical Journal,0,1592,23951,1,1,Croatian Medical Journals,15.035153797865663
Sci Forschen,1,0,0,0,1,VS Verlag für Sozialwissenschaften,0.0
Cogent Medicine,0,475,4745,1,1,Informa UK Limited,9.968487394957982
Pinnacle Research Journals,1,0,0,0,1,WORLD SCIENTIFIC,0.0
BAG. Journal of Basic and Applied Genetics,0,0,0,0,1,Human Kinetics,0.0
ZealSci Journals,1,0,0,0,1,Oxford University Press,0.0
Journal of the Society for Clinical Data Management,0,98,115,1,1,Wiley,1.1616161616161615
Desidades,0,170,45,1,1,Universidade Federal do Rio de Janeiro,0.2631578947368421
African Journal of Psychological Assessment,0,92,343,1,1,AOSIS,3.6881720430107525
"Barents Studies: Peoples, Economies and Politics",0,0,0,0,1,University of British Columbia Press,0.0
Discourse and Writing/Rédactologie,0,616,848,1,1,Canadian Journal for Studies in Discourse Writing/Redactology,1.3743922204213939
Invention Journal of Research Technology in Engineering & Management,1,0,0,0,1,The MIT Press,0.0
Цифровая экономика и инновации,0,0,0,0,1,Central Economic Mathematical Institute of the Russian Academy of Sciences - Cifra,0.0
International Journal of Business and Social Research,1,514,3124,1,1,Westburn Publishers,6.0660194174757285
Pharmaceutical Sciences Asia,0,360,893,1,1,"Faculty of Pharmacy, Mahidol University",2.473684210526316
Bio-based and Applied Economics,0,130,528,1,1,Firenze University Press,4.030534351145038
Journal of Bioscience and Applied Research,0,569,971,1,1,Springer Singapore,1.7035087719298245
INFORMATION An International Interdisciplinary Journal,1,0,0,0,1,"Graduate School of Information Sciences, Tohoku University",0.0
Journal of Biospectracal,1,0,0,0,0,Unknown,0.0
International Journal of MediPharm Research,1,0,0,0,1,Elsevier BV,0.0
Logistics,0,3998,191350,1,1,American Society of Civil Engineers,47.8494623655914
MacroWorld,1,0,0,0,0,Unknown,0.0
Journal of Environmental and Science Education,0,1382,12698,1,1,Informa UK Limited,9.181489515545914
Interdisciplinary Journal of Contemporary Research in Business,1,0,0,0,1,Nepal Journals Online (JOL),0.0
Plant Production Science,0,1455,31600,1,1,Informa UK Limited,21.703296703296704
"Journal of Food, Agriculture and Environment",1,286,3651,1,1,Wiley,12.721254355400697
Insight Knowledge,1,109,0,1,1,KMAN Publication Incorporation,0.0
ALSIC: Apprentissage des Langues et Systèmes d'Information et de Communication,0,0,0,0,1,Editions des archives contemporaines,0.0
Хирургия позвоночника,0,0,0,0,1,Association of Spine Surgeons,0.0
Advances in Distributed Computing and Artificial Intelligence Journal,0,416,3597,1,1,Elsevier,8.62589928057554
Earth and Space Science,0,2299,30960,1,1,Wiley,13.460869565217392
IJLRES (International Journal on Language Research and Education Studies),0,0,0,0,1,Faculty of Islamic Education and Teachers Training,0.0
International Journal of Scientific and Engineering Research,1,1125,4363,1,1,IJSER Publishing,3.874777975133215
International eJournals,1,0,0,0,1,Begell House,0.0
"Труды БГТУ: Серия 2. Химические технологии, биотехнологии, геоэкология",0,0,0,0,1,Belarusian State Technological University,0.0
GeoEco,0,239,403,1,1,Universitas Sebelas Maret,1.6791666666666667
International Journal of Recent Scientific Research,1,297,1538,1,1,Current Research,5.1610738255033555
Journal of Mass Spectrometry and Advances in the Clinical Lab,0,181,1245,1,1,Elsevier BV,6.84065934065934
Acta Advances in Agricultural Sciences,1,0,0,0,1,Sjournals,0.0
Nauplius,0,450,3182,1,1,FapUNIFESP (SciELO),7.0554323725055434
World Standard Organization,1,0,0,0,1,Cambridge University Press,0.0
"International Journal of Computational Science, Mathematics and Engineering",1,79,47,1,1,Rishi Educational Society,0.5875
"International Journal of Advanced Engineering, Management and Science",1,974,2323,1,1,AI Publications,2.3825641025641024
Intuition Journals,1,0,0,0,1,Brill | Fink,0.0
"International Journal of Plant, Animal and Environmental Sciences",1,982,4087,1,1,Fortune Journals,4.157680569684639
Медицинский вестник Юга России,0,0,0,0,1,Joint Editorial Office of the Ministry of Internal Affairs of Russia,0.0
International Journal of Enterprise Computing and Business Systems,1,0,0,0,1,Routledge,0.0
Пернатые хищники и их охрана,0,323,6,1,1,Biota-Plus,0.018518518518518517
Study and Scrutiny,0,125,114,1,1,University of Oklahoma Libraries,0.9047619047619048
Green Global Foundation,1,0,0,0,1,Cambridge University Press,0.0
Cadernos CEPEC,0,182,43,1,1,Universidade Federal do Para,0.23497267759562843
International Journal of Advanced Research in Computer and Communication Engineering,1,6,7,1,1,Researcher Connect Innovation and Impact Private Limited and MRI,1.0
Prompt,0,121,104,1,1,De Gruyter,0.8524590163934426
OPAST,1,0,0,0,0,Unknown,0.0
American Journal of Social issues and Humanities,1,106,246,1,1,"Oxford University PressNew York, NY",2.2990654205607477
Advances in Aerospace Science and Technology,1,81,163,1,1,"Scientific Research Publishing, Inc.",1.9878048780487805
International Journal of Global Ideas,1,0,0,0,1,SUNY Press,0.0
International Association of Technology Education & Industry,1,0,0,0,1,Elsevier,0.0
Nusa,0,318,1463,1,1,LPPM Universitas Nusa Mandiri,4.586206896551724
Journal of Advances in Civil Engineering,1,44,94,1,1,Wiley,2.088888888888889
International Journal of Humanities and Religion,1,0,0,0,1,De Gruyter,0.0
Qubahan Academic Journal,0,394,2061,1,1,Qubahan,5.217721518987342
Duševné vlastníctvo,0,0,0,0,0,Unknown,0.0
Journal of Surgery & Patient Care,1,0,0,0,1,British Medical Journal Publishing Group,0.0
ICT Express,0,953,20504,1,1,Elsevier BV,21.49266247379455
BMJ Oncology,0,181,818,1,1,BMJ,4.4945054945054945
International Journal of Research in Computer Engineering & Electronics,1,382,568,1,1,Research Plus Journals,1.483028720626632
Infectious Agents and Cancer,0,1244,21916,1,1,Springer Science and Business Media LLC,17.603212851405623
Critical Care Innovations,0,0,0,0,1,American Thoracic Society,0.0
International Journal of Research in Computer Technology,1,4749,6720,1,1,Association of Technology and Science,1.414736842105263
Journal of Veterinary and Animal Sciences,0,1915,13251,1,1,Science Publishing Group,6.915970772442589
World Medical Student Journal,1,0,0,0,1,Galenos Yayinevi,0.0
Discover Forests,0,43,18,1,1,Springer Science and Business Media LLC,0.4090909090909091
Social Cognitive and Affective Neuroscience,0,2308,135363,1,1,Oxford University Press (OUP),58.6240796881767
Frontiers in Photobiology,0,23,55,1,1,Frontiers Media SA,2.2916666666666665
Mediterranean Journal of Biosciences,1,0,0,0,1,Eman Research Publishing LLC,0.0
International Journal of Engineering Research and Applications,1,1039,4484,1,1,IOSR Journals,4.311538461538461
SOTL in the South,0,0,0,0,1,University of Alberta Libraries,0.0
S: I. M. O. N.,0,0,0,0,0,Unknown,0.0
"Veredes, Arquitectura y Divulgación",0,0,0,0,1,Iberoamericana Vervuert,0.0
Salasika,0,94,82,1,1,Asosiasi Pusat Studi Wanita/Gender dan Anak Se-Indonesia,0.8631578947368421
Journal of Telecommunications,1,1403,6442,1,1,Cornell University Press,4.588319088319088
Global Scholastic Research Journal,1,0,0,0,1,Catholic University of America Press,0.0
International Indexed Refereed Research Journal,1,0,0,0,1,Technoscience Academy,0.0
Journal of Cosmology,1,12727,463719,1,1,Cambridge University Press,36.43298240100566
Research in Pharmaceutical Sciences,0,1558,8987,1,1,Universitas Indonesia,5.7645926876202696
Direito Público,0,1391,1196,1,1,Instituto Brasiliense de Direito Publico,0.8591954022988506
Novel Science,1,216,369,1,1,University of Chicago Press,1.7004608294930876
International Journal of Asia-Pacific Studies,0,227,810,1,1,UKI Press,3.5526315789473686
علوم زمین,0,1012,818,1,1,Omdurman Islamic University,0.807502467917078
"Journal of Traditional Building, Architecture and Urbanism",0,218,68,1,1,INTBAU Spain,0.3105022831050228
Ross Science Publishers,1,0,0,0,1,Nick Hern Books,0.0
Science Journal Publication,1,20217,233496,1,1,Field Museum of Natural History,11.548916806805817
Open Journal of Clinical & Medical Sciences,1,0,0,0,1,Science Publications (SCIPUB),0.0
Ciências Sociais Unisinos,0,675,1246,1,1,UNISINOS - Universidade do Vale do Rio Dos Sinos,1.8431952662721893
Journal of Applied Linguistics and Language Research,1,754,2867,1,1,Cambridge University Press,3.7973509933774836
Scientific Institute For Advanced Training and Studies,1,0,0,0,1,Apress,0.0
Construction Materials,0,45327,1860364,1,1,Spon Press,41.042269678785736
INTERthesis,0,546,790,1,1,Universidade Federal de Santa Catarina (UFSC),1.4442413162705667
Politika nacionalne bezbednosti,0,264,318,1,1,Centre for Evaluation in Education and Science (CEON/CEES),1.2
Maestro y Sociedad,0,606,159,1,1,Nebraska,0.26194398682042835
Jurnal Ilmu Lingkungan,0,818,3940,1,1,Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Riau,4.8107448107448105
Academic Star Publishing Company ,1,0,0,0,1,The MIT Press,0.0
Дискурс Пи,0,369,5,1,1,National and University Library of the Republic of Srpska,0.013513513513513514
Asian and African Studies,0,4597,20842,1,1,Walter de Gruyter GmbH,4.53284036537625
Symbiosis,1,1697,33360,1,1,Springer Science and Business Media LLC,19.646643109540637
Guangxi Yike Daxue xuebao,0,0,0,0,1,EDP Sciences,0.0
Austin Publishing Group,1,0,0,0,1,Academic Frontiers Publishing Group,0.0
Studia Ecologiae et Bioethicae,0,895,794,1,1,Uniwersytet Kardynala Stefana Wyszynskiego,0.8861607142857143
Myakkangaku,0,0,0,0,0,Unknown,0.0
Elite Hall Publishing House,1,0,0,0,1,AG Publishing House,0.0
Meitan xuebao,0,3666,16014,1,1,Science Research Society,4.367057540223616
International Scientific Journal Theoretical & Applied Science,1,0,0,0,1,International Academy of Theoretical and Applied Sciences,0.0
İstanbul Üniversitesi Sosyoloji Dergisi,0,701,835,1,1,Istanbul University,1.1894586894586894
Crime Science,0,302,7233,1,1,Springer Science and Business Media LLC,23.871287128712872
Journal of Middle East and North Africa Sciences,1,142,286,1,1,BRILL,2.0
Journal of Applied Pharmaceutical Science,1,3900,35802,1,1,Open Science Publishers LLP,9.177646757241734
Asia Pacific Institute of Advanced Research,1,0,0,0,1,Routledge,0.0
Journal of Evolution of Research in Medical Pharmacology,1,0,0,0,1,Springer International Publishing,0.0
Teknik,0,2777,5722,1,1,Institute of Research and Community Services Diponegoro University (LPPM UNDIP),2.0597552195824336
Journal of Degraded and Mining Lands Management,0,976,3478,1,1,International Research Centre for the Management of Degraded and Mining Lands,3.5598771750255884
World Academic Union,1,0,0,0,1,Sciendy Academic Publishing,0.0
452ºF,0,84,60,1,1,Edicions de la Universitat de Barcelona,0.7058823529411765
"International Recognition Multidisciplinary Research Journals, Monthly Publish",1,0,0,0,1,Grupo Comunicar,0.0
Paripex Indian Journal of Research,1,2805,2642,1,1,World Wide Journals,0.9415538132573058
Academy of Contemporary Research Journal,1,0,0,0,1,CRC Press,0.0
Kyiv-Mohyla Humanities Journal,0,180,263,1,1,National University of Kyiv - Mohyla Academy,1.4530386740331491
Classica Wratislaviensia. Series Altera,0,17,0,1,1,Uniwersytet Wrocławski,0.0
Eurasian Journal of Business and Economics,0,149,1787,1,1,Springer Nature Switzerland,11.913333333333334
GIornale Italiano di Psicologia e Medicina del Lavoro,0,0,0,0,1,PAGEPress Publications,0.0
Global Publishing Corporation,1,0,0,0,1,Springer Singapore,0.0
Journal of American Physicians and Surgeons,1,0,0,0,1,Bangladesh Journals Online (JOL),0.0
Chinese Journal of International Review,0,85,149,1,1,World Scientific Pub Co Pte Lt,1.7325581395348837
Jurnal Evaluasi dan Pembelajaran,0,40,63,1,1,STKIP Al Islam Tunas Bangsa,1.5365853658536586
Culture Unbound: Journal of Current Cultural Research,0,560,4023,1,1,Linkoping University Electronic Press,7.171122994652406
International Journal of Pharmaceutical Sciences Letters,1,0,0,0,1,Maad Rayan Publishing Company,0.0
Journal of Applied Surfaces and Interfaces,0,0,0,0,1,Elsevier BV,0.0
International Journal of Ayurveda and Pharma Research,1,1614,835,1,1,Mahadev Publications,0.5170278637770898
Advances in Multimedia,0,941,5153,1,1,Wiley,5.470276008492569
The Journal of Clinical Hypertension,0,5967,136609,1,1,XMLink,22.89024798927614
Acta Agrobotanica,0,2197,8595,1,1,Polish Botanical Society,3.9103730664240217
Turkic Studies Journal,0,266,63,1,1,L. N. Gumilyov Eurasian National University,0.23595505617977527
International Journal of Innovative Computer Science & Engineering,1,6,1,1,1,International Institute of Advance Research,0.14285714285714285
Fungal Biology and Biotechnology,0,207,6821,1,1,Springer International Publishing,32.79326923076923
Romanian Journal of Meteorology,0,0,0,0,1,Routledge,0.0
Indian Journal of Applied Research,1,6161,7047,1,1,World Wide Journals,1.1436222005842258
International Journal of Research in Ayurveda and Pharmacy IJRAP,1,0,0,0,1,Moksha Publishing House,0.0
Cardiology and Cardiovascular Medicine,1,447,843,1,1,Fortune Journals,1.8816964285714286
Comparative Journals,1,0,0,0,1,Oxford University Press,0.0
International Journal of Engineering Research,1,6389,15953,1,1,Diva Enterprises Private Limited,2.4965571205007824
Revista Amazonense de Geriatria e Gerontologia,0,24,6,1,1,Revista Amazonense de Geriatria e Gerontologia,0.24
Journal of Applicable Chemistry,1,0,0,0,1,Informa UK Limited,0.0
ICGST,1,0,0,0,0,Unknown,0.0
Revista de Empreendedorismo e Gestão de Pequenas Empresas,0,95,255,1,1,REGEPE Entrepreneurship and Small Business Journal,2.65625
CESER Publications,1,0,0,0,1,MDPI AG,0.0
Revista de Educación en Biología,0,810,322,1,1,Universidad Nacional de Cordoba,0.3970406905055487
CommIT Journal,0,330,1551,1,1,"Oxford University PressNew York, NY",4.685800604229607
African Journal of Health Professions Education,0,608,2479,1,1,South African Medical Association NPC,4.070607553366174
International Journal of Latest Research in Engineering and Computing,1,0,0,0,1,Internal Journals Publication House,0.0
BMC Ophthalmology,0,5003,67912,1,1,Springer Science and Business Media LLC,13.57154276578737
Dialogues in Health,0,248,1065,1,1,Elsevier BV,4.27710843373494
Gazi Üniversitesi Fen Bilimleri Dergisi,0,763,1212,1,1,Gazi University,1.5863874345549738
Planetary Scientific Research Center,1,0,0,0,1,Scientific Societal and Behavioral Research Center,0.0
Sky Journals,1,0,0,0,1,The University Press of Kentucky,0.0
Revista Opinião Filosófica,0,321,73,1,1,Fundacao Fenix,0.2267080745341615
eLearning Institute,1,0,0,0,1,VS Verlag für Sozialwissenschaften,0.0
Asian Research Journal of Business Management,1,1661,1238,1,1,July Press Pte. Ltd.,0.7448856799037304
International Organization Center of Academic Research,1,0,0,0,1,Cambridge University Press,0.0
Indian Research Journal of Pharmacy and Science,1,209,225,1,1,Marwah Infotech,1.0714285714285714
Asian Journal of Science and Technology,1,446,975,1,1,Hind Agri Horticultural Society,2.1812080536912752
Sri Lankan Journal of Infectious Diseases,0,500,861,1,1,Sri Lanka Journals Online (JOL),1.718562874251497
Teologisk Tidsskrift,0,605,922,1,1,Scandinavian University Press,1.5214521452145215
International Journal of Advance Research and Innovation,1,929,1060,1,1,Fringe Global Scientific Press,1.1397849462365592
International Journal of Engineering Sciences & Management,1,793,4696,1,1,University of Debrecen/ Debreceni Egyetem,5.914357682619648
OPR Science,1,0,0,0,1,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka) (Publications),0.0
Indian Journal of Advances in Chemical Science,1,10,123,1,1,KROS Publications,11.181818181818182
Medical Science Journals [Link dead as of 2012-11-14],1,0,0,0,1,Routledge,0.0
Seventh Sense Research Group Journal,1,0,0,0,1,Columbia University Press,0.0
Journal of Economic Education,0,3241,51977,1,1,"Economic Faculty, Gorontalo State University",16.03238741517582
Актуальні питання суспільних наук та історії медицини,0,0,0,0,1,Ternopil State Medical University,0.0
Journal of Pharmacognosy and Phytochemistry,1,14622,47977,1,1,Wiley,3.280927306298297
Revista Museologia & Interdisciplinaridade,0,0,0,0,1,Biblioteca Central da UNB,0.0
Elkha: Jurnal Teknik Elektro,0,0,0,0,1,Universitas Palembang,0.0
Prime Journals,1,0,0,0,1,Informa UK Limited,0.0
Ideas y Valores,0,1003,811,1,1,Universidad Nacional de Colombia,0.8077689243027888
Trabajos y Comunicaciones,0,371,202,1,1,Universidad Nacional de La Plata,0.543010752688172
World Science Research Journals,1,0,0,0,1,Eco Science Journals,0.0
Comparative Literature: East & West,0,552,370,1,1,Informa UK Limited,0.6690777576853526
İçtimaiyat,0,346,197,1,0,Unknown,0.5677233429394812
Shipin Kexue,0,1816,32895,1,1,Sciendo,18.10401761144744
Journal of Reading and Literacy,1,135,383,1,1,Wiley,2.8161764705882355
Journal of Arts & Social Sciences,0,814,1365,1,1,European Academy of Applied and Social Sciences (EURAASS),1.6748466257668713
Jurnal Patriot,0,438,1220,1,1,Universitas Negeri Padang,2.7790432801822322
e-Science Central,1,0,0,0,1,American Chemical Society (ACS),0.0
SAGE Open Nursing,0,1066,8123,1,1,SAGE Publications,7.612933458294283
Вісник Університету імені Альфреда Нобеля. Серія Педагогіка і психология,0,0,0,0,1,Publishing House Helvetica (Publications),0.0
Knowledgebase Publishers,1,0,0,0,1,Edinburgh University Press,0.0
Technopark Publications,1,0,0,0,1,Publishing house Sreda,0.0
Elementa,0,936,31036,1,1,De Gruyter,33.12273212379936
Linchuang shenzangbing zazhi,0,0,0,0,0,Unknown,0.0
Journal of Theoretical and Applied Information Technology,1,303,1969,1,1,Universitas Negeri Makassar,6.4769736842105265
Epidemiologia,0,2420,41935,1,1,MDPI AG,17.32135481206113
Brainy Buzz,1,0,0,0,1,Bloomsbury Publishing Plc,0.0
Current: The Journal of Marine Education,0,107,48,1,1,"Ubiquity Press, Ltd.",0.4444444444444444
Atharva Scientific Publications,1,0,0,0,1,Nepal Journals Online (JOL),0.0
Oxímora. Revista Internacional de Ética y Política,0,186,250,1,1,Edicions de la Universitat de Barcelona,1.3368983957219251
Asian Online Journal Publishing Group,1,0,0,0,1,Academic Frontiers Publishing Group,0.0
European Center for Science Education and Research,1,0,0,0,1,Regional Entrepreneurship Education Research Center,0.0
Seitejournals,1,0,0,0,0,Unknown,0.0
European Scientific Journal,1,11981,34889,1,1,UK EPC Ltd,2.9117843431814388
International Journal for Research & Development in Technology,1,0,0,0,1,Shree B. N. Singh Lok Kalyan Shiksha Samiti,0.0
Global Journal of Advanced Research,1,32,58,1,1,A K Peters/CRC Press,1.7575757575757576
Fanāvarī-i āmūzish,0,0,0,0,0,Unknown,0.0
Revista Contenciosa,0,172,140,1,1,Universidad Nacional del Litoral,0.8092485549132948
Revista Bio Ciencias,0,747,749,1,1,Universidad Autonoma de Nayarit - Revista Bio Ciencias,1.0013368983957218
Asian Journal of Multidisciplinary Studies,1,121,814,1,1,University of Ljubljana,6.672131147540983
Papeles de Europa,0,178,343,1,1,Universidad Complutense de Madrid (UCM),1.9162011173184357
International Journal of Innovative Ideas,1,5861,3574,1,1,Rowman & Littlefield Publishers,0.6096895257591266
European Environmental Sciences and Ecology Journal,1,0,0,0,1,"Science and Education Publishing Co., Ltd.",0.0
International Journal of Pharmaceutical Science Invention,1,55,252,1,1,Quest Journals,4.5
Trans Stellar,1,0,0,0,1,Springer Netherlands,0.0
Journal of Industrial Microbiology and Biotechnology,0,4741,190186,1,1,Springer Nature Singapore,40.10670603121046
TASK Quarterly,0,46,138,1,1,Princeton University Press,2.9361702127659575
