Titre,Est_Predateur
Journal of Applied Structural Equation Modeling,0
Design Science,0
International Journal of Technology and Computing,1
Scholarly Research Publisher,1
Ambit Journals,1
Tarih Tetkikleri Dergisi,0
วารสารวิทยาการสารสนเทศและเทคโนโลยีประยุกต์,0
Archers & Elevators Publishing House,1
Journal of Bioscience and Technology,1
Institute of Research Engineers and Scientists,1
Frontiers in Fungal Biology,0
Mayéutica: Revista Científica de Humanidades y Artes,0
Paper Publications,1
علوم محیطی,0
International Journal of Current Research,1
International Journal of Advanced Engineering Research and Applications,1
Neurology and Therapy,0
Enliven Archive,1
Impact Journals,1
Research Publishing Group,1
Stem Cell Research,0
Children,0
Studii si Cercetari Filologice: Seria Limbi Straine Aplicate,0
Pharmacologia,1
Journal of Global Health,0
American Based Research Journal,1
Croatian Medical Journal,0
Sci Forschen,1
Cogent Medicine,0
Pinnacle Research Journals,1
BAG. Journal of Basic and Applied Genetics,0
ZealSci Journals,1
Journal of the Society for Clinical Data Management,0
Desidades,0
African Journal of Psychological Assessment,0
"Barents Studies: Peoples, Economies and Politics",0
Discourse and Writing/Rédactologie,0
Invention Journal of Research Technology in Engineering & Management,1
Цифровая экономика и инновации,0
International Journal of Business and Social Research,1
Pharmaceutical Sciences Asia,0
Bio-based and Applied Economics,0
Journal of Bioscience and Applied Research,0
INFORMATION An International Interdisciplinary Journal,1
Journal of Biospectracal,1
International Journal of MediPharm Research,1
Logistics,0
MacroWorld,1
Journal of Environmental and Science Education,0
Interdisciplinary Journal of Contemporary Research in Business,1
Plant Production Science,0
"Journal of Food, Agriculture and Environment",1
Insight Knowledge,1
ALSIC: Apprentissage des Langues et Systèmes d'Information et de Communication,0
Хирургия позвоночника,0
Advances in Distributed Computing and Artificial Intelligence Journal,0
Earth and Space Science,0
IJLRES (International Journal on Language Research and Education Studies),0
International Journal of Scientific and Engineering Research,1
International eJournals,1
"Труды БГТУ: Серия 2. Химические технологии, биотехнологии, геоэкология",0
GeoEco,0
International Journal of Recent Scientific Research,1
Journal of Mass Spectrometry and Advances in the Clinical Lab,0
Acta Advances in Agricultural Sciences,1
Nauplius,0
World Standard Organization,1
"International Journal of Computational Science, Mathematics and Engineering",1
"International Journal of Advanced Engineering, Management and Science",1
Intuition Journals,1
"International Journal of Plant, Animal and Environmental Sciences",1
Медицинский вестник Юга России,0
International Journal of Enterprise Computing and Business Systems,1
Пернатые хищники и их охрана,0
Study and Scrutiny,0
Green Global Foundation,1
Cadernos CEPEC,0
International Journal of Advanced Research in Computer and Communication Engineering,1
Prompt,0
OPAST,1
American Journal of Social issues and Humanities,1
Advances in Aerospace Science and Technology,1
International Journal of Global Ideas,1
International Association of Technology Education & Industry,1
Nusa,0
Journal of Advances in Civil Engineering,1
International Journal of Humanities and Religion,1
Qubahan Academic Journal,0
Duševné vlastníctvo,0
Journal of Surgery & Patient Care,1
ICT Express,0
BMJ Oncology,0
International Journal of Research in Computer Engineering & Electronics,1
Infectious Agents and Cancer,0
Critical Care Innovations,0
International Journal of Research in Computer Technology,1
Journal of Veterinary and Animal Sciences,0
World Medical Student Journal,1
Discover Forests,0
Social Cognitive and Affective Neuroscience,0
Frontiers in Photobiology,0
Mediterranean Journal of Biosciences,1
International Journal of Engineering Research and Applications,1
SOTL in the South,0
S: I. M. O. N.,0
"Veredes, Arquitectura y Divulgación",0
Salasika,0
Journal of Telecommunications,1
Global Scholastic Research Journal,1
International Indexed Refereed Research Journal,1
Journal of Cosmology,1
Research in Pharmaceutical Sciences,0
Direito Público,0
Novel Science,1
International Journal of Asia-Pacific Studies,0
علوم زمین,0
"Journal of Traditional Building, Architecture and Urbanism",0
Ross Science Publishers,1
Science Journal Publication,1
Open Journal of Clinical & Medical Sciences,1
Ciências Sociais Unisinos,0
Journal of Applied Linguistics and Language Research,1
Scientific Institute For Advanced Training and Studies,1
Construction Materials,0
INTERthesis,0
Politika nacionalne bezbednosti,0
Maestro y Sociedad,0
Jurnal Ilmu Lingkungan,0
Academic Star Publishing Company ,1
Дискурс Пи,0
Asian and African Studies,0
Symbiosis,1
Guangxi Yike Daxue xuebao,0
Austin Publishing Group,1
Studia Ecologiae et Bioethicae,0
Myakkangaku,0
Elite Hall Publishing House,1
Meitan xuebao,0
International Scientific Journal Theoretical & Applied Science,1
İstanbul Üniversitesi Sosyoloji Dergisi,0
Crime Science,0
Journal of Middle East and North Africa Sciences,1
Journal of Applied Pharmaceutical Science,1
Asia Pacific Institute of Advanced Research,1
Journal of Evolution of Research in Medical Pharmacology,1
Teknik,0
Journal of Degraded and Mining Lands Management,0
World Academic Union,1
452ºF,0
"International Recognition Multidisciplinary Research Journals, Monthly Publish",1
Paripex Indian Journal of Research,1
Academy of Contemporary Research Journal,1
Kyiv-Mohyla Humanities Journal,0
Classica Wratislaviensia. Series Altera,0
Eurasian Journal of Business and Economics,0
GIornale Italiano di Psicologia e Medicina del Lavoro,0
Global Publishing Corporation,1
Journal of American Physicians and Surgeons,1
Chinese Journal of International Review,0
Jurnal Evaluasi dan Pembelajaran,0
Culture Unbound: Journal of Current Cultural Research,0
International Journal of Pharmaceutical Sciences Letters,1
Journal of Applied Surfaces and Interfaces,0
International Journal of Ayurveda and Pharma Research,1
Advances in Multimedia,0
The Journal of Clinical Hypertension,0
Acta Agrobotanica,0
Turkic Studies Journal,0
International Journal of Innovative Computer Science & Engineering,1
Fungal Biology and Biotechnology,0
Romanian Journal of Meteorology,0
Indian Journal of Applied Research,1
International Journal of Research in Ayurveda and Pharmacy IJRAP,1
Cardiology and Cardiovascular Medicine,1
Comparative Journals,1
International Journal of Engineering Research,1
Revista Amazonense de Geriatria e Gerontologia,0
Journal of Applicable Chemistry,1
ICGST,1
Revista de Empreendedorismo e Gestão de Pequenas Empresas,0
CESER Publications,1
Revista de Educación en Biología,0
CommIT Journal,0
African Journal of Health Professions Education,0
International Journal of Latest Research in Engineering and Computing,1
BMC Ophthalmology,0
Dialogues in Health,0
Gazi Üniversitesi Fen Bilimleri Dergisi,0
Planetary Scientific Research Center,1
Sky Journals,1
Revista Opinião Filosófica,0
eLearning Institute,1
Asian Research Journal of Business Management,1
International Organization Center of Academic Research,1
Indian Research Journal of Pharmacy and Science,1
Asian Journal of Science and Technology,1
Sri Lankan Journal of Infectious Diseases,0
Teologisk Tidsskrift,0
International Journal of Advance Research and Innovation,1
International Journal of Engineering Sciences & Management,1
OPR Science,1
Indian Journal of Advances in Chemical Science,1
Medical Science Journals [Link dead as of 2012-11-14],1
Seventh Sense Research Group Journal,1
Journal of Economic Education,0
Актуальні питання суспільних наук та історії медицини,0
Journal of Pharmacognosy and Phytochemistry,1
Revista Museologia & Interdisciplinaridade,0
Elkha: Jurnal Teknik Elektro,0
Prime Journals,1
Ideas y Valores,0
Trabajos y Comunicaciones,0
World Science Research Journals,1
Comparative Literature: East & West,0
İçtimaiyat,0
Shipin Kexue,0
Journal of Reading and Literacy,1
Journal of Arts & Social Sciences,0
Jurnal Patriot,0
e-Science Central,1
SAGE Open Nursing,0
Вісник Університету імені Альфреда Нобеля. Серія Педагогіка і психология,0
Knowledgebase Publishers,1
Technopark Publications,1
Elementa,0
Linchuang shenzangbing zazhi,0
Journal of Theoretical and Applied Information Technology,1
Epidemiologia,0
Brainy Buzz,1
Current: The Journal of Marine Education,0
Atharva Scientific Publications,1
Oxímora. Revista Internacional de Ética y Política,0
Asian Online Journal Publishing Group,1
European Center for Science Education and Research,1
Seitejournals,1
European Scientific Journal,1
International Journal for Research & Development in Technology,1
Global Journal of Advanced Research,1
Fanāvarī-i āmūzish,0
Revista Contenciosa,0
Revista Bio Ciencias,0
Asian Journal of Multidisciplinary Studies,1
Papeles de Europa,0
International Journal of Innovative Ideas,1
European Environmental Sciences and Ecology Journal,1
International Journal of Pharmaceutical Science Invention,1
Trans Stellar,1
Journal of Industrial Microbiology and Biotechnology,0
TASK Quarterly,0
Revista Científica de Estudios Sociales,0
World Journal of Science and Technology,1
Journal of Glaciology,0
International Journal of Electronics Communication and Computer Technology,1
International Journal of Research in Electronics & Communication Technology,1
International Journal of Innovative Research in Computer and Communication Engineering,1
Engineering Physics and Thermodynamics Journal,1
International Scholarly Open Access Research,1
Guaju,0
Scientific Future,1
Musiikki,0
Modern Supply Chain Research and Applications,0
Open Journal of Clinical & Medical Case Reports,1
International Journal of Digital Library Services,1
Epidemiology and Infection,0
International Journal of Pharma Professional’s Research,1
Revista Estudos e Pesquisas em Administração,0
Минералогия,0
International Journal of Multidisciplinary Research Review,1
Institute of Research Advances,1
M@ppemonde,0
Revista Iberoamericana de Ciencas,1
Asia-Pacific Journal of Information Technology and Multimedia,0
Jurnal Taman Vokasi,0
Synergies Espagne,0
Standard Global Journals,1
Indian Academicians and Researchers Association,1
European Journal of Sustainable Development,1
"International Journal of Economics, Commerce and Management",1
Hayef: Journal of Education,0
International Journal of Nursing,1
Scientific Cooperations,1
Jurnal Ilmu dan Teknologi Kesehatan,0
AIMS Biophysics,0
"International Journal of Advanced Research in Electrical, Electronics and Instrumentation Engineering",1
EuroJournals,1
Journal of Islamic Monetary Economics and Finance,0
"Journal of Childhood, Education & Society",0
iMedPharm,1
Current Research Web,1
"International Journal of Innovative Research in Science, Engineering and Technology",1
Psicooncologia,0
Innovative Biosystems and Bioengineering,0
Otology & Neurotology Open,0
Pharmaciana,0
International Journal of Pharmacy and Pharmaceutical Research,1
Sport şi Societate,0
Lugawiyyat,0
"Государство, религия, церковь в России и за рубежом",0
Nordic Research in Music Education,0
Novelty Journals,1
Revista Subjetividades,0
Unique Research Journals,1
IET Software,0
Geoscience Letters,0
Unique Journals Communication,1
Health Professions Education,0
PunarnaV,1
Prospects in Pharmaceutical Sciences,0
Experimental Hematology & Oncology,0
ICTACT Journal on Soft Computing,0
IIARD Publication Company,1
International Journal of Advance Research in Computer Science And Management Studies,1
Journal the Winners,0
International Journal of Current Research in  Life Sciences,1
Philippine E-Journal for Applied Research and Development,0
Journal of Bioresource Management,0
پژوهشنامه عرفان,0
Yearbook for Ritual and Liturgical Studies,0
International Journal of Comprehensive Research in Biological Sciences,1
International Journal of Medical Students,1
Health Dynamics,0
July Press,1
International Journal of Pharmaceutical Sciences and Research,1
University Therapeutic Journal,0
Academy Publish,1
American Journal of Engineering Research,1
R&D Modern Research Publication,1
Lorem Journals,1
Journal of Bio-Based Marketing,0
World Research Publications,1
Automotive Experiences,0
Institute of Doctors Engineers and Scientists,1
Rotura,0
Discover Endocrinology and Metabolism,0
Buletinul Științific al Universității de Stat „B.P. Hasdeu” din Cahul: Științe Sociale,0
International Scientific Research Journal,1
Stjórnmál og Stjórnsýsla,0
Security and Defence Quarterly,0
معماری اقلیم گرم و خشک,0
Ideal Journal of Arts and Humanities,1
Journal of Feminist Scholarship,0
Aloy Journal of Soft Computing and Applications,1
International Journal of Mining and Geo-Engineering,0
Translational Medicine of Aging,0
Journal of Research in Psychology,0
PharmaInterScience Publishers,1
"International Journal of Printing, Packaging & Allied Sciences",1
Frontiers in Sustainable Food Systems,0
Journal of Applied Life Sciences and Environment,0
Jurnal Inovasi Teknologi Pendidikan,0
The Journal of Association of Chest Physicians,0
Agricultural Economics (AGRICECON),0
E-Library Science Research Journal,1
Research Trend,1
Scholarlink Resource Centre Limited,1
مدیریت تولید و عملیات,0
Journal of Disaster Research,0
Smart Nanosystems in Engineering and Medicine,1
Журнал медико-биологических исследований,0
JKG (Jurnal Komunikasi Global),0
Journal of Computers,1
Mathematical Communications,0
Revista Tecnologia,0
Cancer Research Frontiers,1
Kunst og Kultur,0
International Journal of Computer & Electronics Research,1
Ahead International Journal of Recent Research Review,1
Металознавство та обробка металів,0
International Journal of Research and Science Publication,1
International Journal of Recent Research and Applied Studies,1
Chitkara University Publications,1
Journal of Obstetric and Gynaecological Practices POGS,0
"Indonesian EFL Journal: Journal of ELT, Linguistics, and Literature",0
Journal of the International Society of Sports Nutrition,0
"Asia Pacific Journal of Education, Arts and Sciences",1
Canadian Chemical Transactions,1
Revista de Dialectología y Tradiciones Populares,0
Translational Animal Science,0
Indian Journal of Private Psychiatry,0
Elektronika ir Elektrotechnika,0
Eurasian Research Publishing,1
Revue d'Études Autochtones,0
International Journal of Information Science and Management,0
Actas de Arquitectura Religiosa Contemporánea,0
Brazilian Dental Science,0
Research Journal of Life Science,0
Educational Academic Research,0
Ain-Shams Journal of Surgery,0
infofacility,1
Jurnal Dikdas Bantara,0
Revista do Gelne,0
Science Huβ,1
Codex Studies,0
International Journal of Advances in Interdisciplinary Research,1
Horizonte de la Ciencia,0
Artuklu Humanities,0
International Journal of Environmental & Agriculture Research,1
Engineering Research Publication,1
Ricercare,0
Elewa Bio Sciences,1
JAUR (Journal of Architecture and Urbanism Research),0
International Scientific Academy of Engineering & Technology,1
International Journal of Research in Business Studies and Management,1
International Journal of Tropical Veterinary and Biomedical Research,0
International Journal of Advanced Research in Computer Science & Technology,1
ELK Asia Pacific Journals,1
International Journal of Research and Innovation in Computer Engineering,1
Imaginaires,0
Journal of Natural Gas Geoscience,0
Jurnal Jaringan Telekomunikasi,0
International Journal of Roma Studies,0
طب جانباز,0
Revista Espinhaço,0
Medical Science Pulse,0
Farāyand-i nu,0
Society of Business Research,1
Estudios de Historia de España,0
Revista de Producción Animal,0
Encontros Bibli,0
Revista Portuguesa de Psicanálise,0
International Information Institute,1
Mağallaẗ Al-Funūn wa Al-ʿulūm Al-Ṭaṭbīqiyyaẗ,0
Asia Pacific,0
Jurnal Hukum Internasional,0
Clinics and Practice,0
PAJAR - Pan American Journal of Aging Research,0
Lambda Nordica,0
Revue Roumaine d'Histoire de l'Art : Série Beaux-Arts,0
Interacciones,0
Health Psychology Open,0
Indonesian Journal of Innovation and Applied Sciences,0
American Journal of Biotechnology and Medical Research,1
Geodynamics Research International Bulletin,1
Revista Agrotecnológica Amazónica,0
International Journal for Pharmaceutical Research Scholars,1
"Academic Journals, Inc.",1
Unified Journals,1
Ideal Journal of Engineering and Applied Sciences,1
"Revista de Administração, Contabilidade e Economia da Fundace",0
Sendebar,0
Academic Exchange Quarterly,1
International Journal of Science and Engineering Investigations,1
African Journal of Career Development,0
تحقیق و توسعه در حقوق کیفری و جرم شناسی,0
Revista de Estudios Latinoamericanos sobre Reducción del Riesgo de Desastres,0
Institute of Research Engineers and Doctors,1
Journal of Applied Economics,0
Economic Thought,0
Applied Spectroscopy Practica,0
McMed International,1
CIRWORLD [alt],1
Alloys,0
Integrated Publishing Association,1
Nalars,0
Blood Science,0
Scientific Perspectives Publishing,1
Acta Histriae,0
Indonesian Journal of Conservation,0
Photoacoustics,0
Milan Law Review,0
Journal of Analytical Research,1
"Journal of Accounting Research, Organization and Economics",0
Journal of Research in Traditional Medicine,1
Вестник Майкопского государственного технологического университета,0
"International Journal of Science, Engineering and Technology Research",1
International Journal for Innovative Research in Multidisciplinary Field,1
Language and Health,0
Forum Lingwistyczne,0
Sosial Budaya,0
Emitter: International Journal of Engineering Technology,0
Open Computer Science,0
Thémata,0
Security Science Journal,0
World Journal of Pharmaceutical and Life Sciences,1
Academe Research Journals,1
Compàs d'Amalgama,0
Orthopedic Research and Reviews,0
Medical Cannabis and Cannabinoids,0
Bulletin of Pharmaceutical Research,1
Academic Research Reviews,1
KEI Journals,1
Al-Adzka: Jurnal Ilmiah Pendidikan Guru Madrasah Ibtidaiyah,0
Research and Scientific Innovation Society,1
Elmer Press,1
Priyanka Research Journal Publication,1
ScholArena,1
Innova Research Journal,0
DRd - Desenvolvimento Regional em Debate,0
Odgojno-Obrazovne Teme,0
Journal of Veterinary Research,0
Ahkam: Jurnal Ilmu Syariah,0
مطالعات دین، معنویت و مدیریت,0
International Journals of Multi Dimensional Research,1
Primary Health Care Research and Development,0
Advances in Urology,0
The Southern African Journal of Entrepreneurship and Small Business Management,0
Earth Journals,1
Cuadernos de Historia: Serie Economía y Sociedad,0
Revista Iberoamericana de Estudios de Desarrollo,0
Journal of Fundamental and Applied Sciences,1
Energeia,0
Journal of Trends in the Development of Machinery and Associated Technology,1
JMSNI (Journal of Maritime Studies and National Integration),0
ScienceDomain International,1
View,0
مجلة جامعة دمشق للعلوم الزراعية,0
International Journal of Engineering Maths and Computer Science,1
Mehmet Akif Ersoy Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,0
College and Research Libraries,0
Measurement: Energy,0
International Journal of Engineering and Management Research,1
International Journal for Research in Emerging Science and Technology,1
Medicines,0
RS Publication,1
International Institute of Engineers,1
Questions Vives,0
Segment Journals,1
Societal Impacts,0
Techmind Research,1
Kashmir Economic Review,1
Pasado y Memoria,0
Les Cahiers de Framespa,0
Journal of Sustainable Agriculture and Environment,0
Indian Journal of Applied-Basic Medical Sciences,1
American Journal of PharmTech Research,1
حسابداری دولتی,0
Research,1
Journal of Global Innovations in Agricultural and Social Sciences,1
Betty Jones & Sisters Publishing,1
Serviço Social & Saúde,0
Kamla Raj Enterprises,1
International Journal of Management Studies,0
Jurnal Ilmiah Ilmu-Ilmu Peternakan,0
International Journal of Advanced Scientific Research & Development,1
ScienceSolve,1
Revista de Saúde Pública do Paraná,0
Open Access Journals,1
Ratio Mathematica,0
Journal of Social Issues & Humanities,1
U.S. Science Press,1
Naturepub,1
Неотложная медицинская помощь,0
Journal of Research in Computers and Technology,1
Psyche: A Journal of Entomology,0
Yeungnam University Journal of Medicine,0
FirePhysChem,0
Revista Brasileira de Terapia Intensiva,0
International Research Organization of Sciences and Social Sciences,1
Innovinc,1
توسعه آموزش جندی‌شاپور,0
Al-Hayat,0
Ethics in Progress,0
Sciknow,1
Jurnal Antropologi: Isu-Isu Sosial Budaya,0
International Multidisciplinary Research Journal,1
"Journal of Vocational, Adult and Continuing Education and Training",0
Hydrobiology,0
ScottishGroup Education and Testing Services,1
Jurnal Public Policy,0
Land,0
International Journal of Recent Technology and Engineering,1
Ihering,0
Global Journal of Business and Social Science,1
Machine Learning with Applications,0
Global Open Journals,1
Differential Equations and Nonlinear Mechanics,0
Vértice Universitario,0
Ulutas Genetic Research Journal,1
BRNSS Publication Hub,1
Trends Journal of Sciences Research,1
International Journal of Research in Pharmacy and Biosciences,1
Stati inu obstati,0
ICTACT Journal,1
CJC Open,0
Erudite Journals Limited,1
Open Cultural Studies,0
Emerging Perspectives,0
International Journal of Sub-Saharan African Research,0
Scientific & Academic Publishing,1
International Journal of Research in Agricultural Sciences,1
American-Eurasian Network for Scientific Information,1
Boletim Entre SIS,0
J-MKLI (Jurnal Manajemen dan Kearifan Lokal Indonesia),0
BMC Bioinformatics,0
Australian Academy of Business Leadership,1
Bezbednosni Dijalozi,0
Jurnal Ilmiah Informatika,0
The Philippine Journal of Fisheries,0
Physiotherapy Review,0
Geosaberes,0
Scientific Planet,1
Open Access Science Research Publisher,1
Espiral,0
German Science and Technology Press,1
International Journal of Therapeutic Applications,1
Climate Resilience and Sustainability,0
Weave: Journal of Library User Experience,0
International Journal of Computer Technology and Electronics Engineering,1
HIV Research & Clinical Practice,0
International Academic Journals,1
Informaciâ i Innovacii,0
Ijbsse.org,1
Antarctic Journals,1
Development Strategies in Medical Education,0
International Journal of Research Development,1
International Society for Engineering Research and Development,1
Green Earth Research Network,1
Archaeologia Lituana,0
Universum Scientific Journals,1
Carbon Balance and Management,0
"International Journal of Biology, Pharmacy and Allied Sciences",1
Historia Crítica,0
Aperito Online Publishing,1
Human Pathology: Case Reports,0
Frontiers in Sustainable Cities,0
Advanced Research Journals,1
Derecho & Sociedad,0
Asia-Pacific Association of Medical Research,1
Revista Brasileira de Estudos Políticos,0
OneCentral Press,1
Pharma Intelligence,1
Consecutio Rerum,0
IJRCM,1
Central Bank Review,0
Academy of Business & Retail Management,1
International Journal of Engineering Research and Development,1
Вестник Кемеровского государственного университета. Серия: гуманитарные и общественные науки,0
International Journal of Advanced Education and Research,1
"International Journal of Informatics, Information System and Computer Engineering",0
Aristotelica,0
Młody Jurysta,0
International Journal Publishers Group,1
International Journal of Scientific Research and Engineering Trends,1
Surfaces,0
Revista Baiana de Educação Matemática,0
Gaceta Médica Boliviana,0
Revista Brasileira de Direitos e Garantias Fundamentais,0
Cuadernos Inter.c.a.mbio sobre Centroamérica y el Caribe,0
International Journal of Advance Computing Techniques and Applications,1
Profesi Pendidikan Dasar,0
European Journal of Materials,0
"Современные инновации, системы и технологии",0
Standard Research Journals,1
Kajian Malaysia,0
Open BioMedical Publishing Corporation,1
Ex Aequo: Revista da Associação Portuguesa de Estudos sobre as Mulheres,0
Ceridap,0
"International Journal of Arts, Humanities and Management Studies",1
Smile Nation – Lets Smile Together,1
Indonesian Journal of Islamic Economics and Finance,0
Kriterion,0
European Management Studies,0
"International Journal of Environment, Agriculture and Biotechnology",1
Bio Core/Biocore,1
KnowledgeCuddle Publication,1
Acta Stomatologica Naissi,0
Serials Publications Pvt Ltd,1
Romanian Journal of Internal Medicine,0
Journal of Athlete Development and Experience,0
Internasjonal Politikk,0
Soil & Environmental Health,0
MASAUM Network,1
European Journal of Futures Research,0
International Journals of Multidisciplinary Research Academy,1
International Journal of Pharmaceutical and Biomedical Research,1
Aesthetic Surgery Journal Open Forum,0
International Journal of Signal Processing Systems,1
Barometr Regionalny,0
AS Publishers,1
Eastern Academic Journal,1
Pharmascope Publications,1
Paramount Journals,1
AshEse Visionary,1
علوم و فنون بسته بندی,0
IGM Publication,1
Henry Publishing Group,1
Applied Science Innovations,1
Journal of Applied Research in Technology & Engineering,0
Endoscopia,0
Revista de la Facultad de Ciencias Económicas,0
Beiträge zur Allgemeinen und Vergleichenden Sprachwissenschaft,0
پژوهش‌های روانشناختی در مدیریت,0
University Library at a New Stage of Social Communications Development,0
Pro-Posições,0
Turkish Journal of Family Practice,0
International Journal of Ayurveda and Pharmaceutical Chemistry,1
Chinese Herbal Medicines,0
Scientia in Educatione,0
Asian Journal of Sport and Exercise Psychology,0
Slovakia Academic Publishing,1
North Asian International Research Journal Consortium,1
Open Science,1
Ardeth,0
Engineering and Technology Publishing,1
International Journal of Biomedical Science,1
Ficus Publishers,1
Obgynia,0
Revista Eugenio Espejo,0
International Journals.co.in,1
Zeitschrift für Rezensionen zur Germanistischen Sprachwissenschaft,0
Research Innovator,1
IET Optoelectronics,0
Online International Interdisciplinary Research Journal,1
International Journal of Energy and Water Resources,1
New Ground Research Journals,1
Pearl Publication,1
Arxiu d'Etnografia de Catalunya,0
Current Biotica,1
Teanga: The Journal of the Irish Association for Applied Linguistics,0
Path of Science,1
Engaged Management ReView,0
Academic Research Journals,1
Clinics in Surgery,1
World Essays Journal,1
مطالعات زبان و ادبیات غنایی,0
Microbiology Spectrum,0
NobleResearch,1
"International Journal of English Language , Literature & Humanities",1
Institute of Language and Communication Studies,1
Journal of Evidence-Based Integrative Medicine,0
e-journal,1
Journal of Environment and Life Sciences,1
British Open Research Publications,1
Bulletin de la Dialyse à Domicile,0
Journal of Circadian Rhythms,0
Clinical and Biomedical Research,0
International Scientific Academic Corporation,1
Intropica,0
International Journal of Social Science & Economic Research,1
European Review of Aging and Physical Activity,0
ARPN Journal of Science and Technology,1
Jurnal Analisis Bisnis Ekonomi,0
Journal of Ethics and Legal Technologies,0
Open Praxis,0
Национальный психологический журнал,0
İletişim Kuram ve Araştırma Dergisi,0
Acta Medica International,1
Agricultural and Food Science,0
International Journal of Science and Technology,1
Sound Stage Screen,0
Cybernetics and Information Technologies,0
Nitel Sosyal Bilimler,0
International Journal of Emerging Research in Management and Technology,1
Professional Journals,1
GeoNordeste,0
Glossa,0
Rising Vision,1
Studien zur Deutschen Sprache und Literatur,0
Journal of Agricultural Machinery,0
Academic Organization for Advancement of Strategic and International Studies,1
Foods,0
Science Arena Publications,1
Child Protection and Practice,0
iProbe Group,1
ScienceFlora,1
Asian Pharma Press,1
International Journal of Science Culture and Sport,1
SLIS Connecting,0
Studia Universitatis Babeş-Bolyai. Theologia Reformata Transylvanica,0
Conexões,0
Mídia e Cotidiano,0
Neurama,0
American Journal of Essential Oils and Natural Products,1
Die Materialwerkstatt,0
Ankara Sosyal Bilimler Üniversitesi Hukuk Fakültesi Dergisi,0
Journal of Play in Adulthood,0
International Journal of Power Electronics Engineering,1
Journal of Business Studies Quarterly,1
Open Research Network,1
International Journal of Engineering Technology and Management,1
PeerJ Computer Science,0
Research Journal,1
Studia Philosophica Estonica,0
International Journal of Engineering and Science Invention,1
Plant Diversity,0
Quantitative Plant Biology,0
Sensors & Transducers Journal,1
مجله علوم پزشکی فیض (پیوسته),0
Centre of Promoting Research Excellence,1
Insurance Markets and Companies,0
Speak Foundation,1
Communications Physics,0
Srpski Medicinski Časopis Lekarske Komore,0
"International Journal of Advancement in Engineering Technology, Management & Applied Science",1
Cakradonya Dental Journal,0
Marsland Press,1
PLOS Digital Health,0
Japanese Language and Literature,0
Consumer Behavior Review,0
Harvard Kennedy School Misinformation Review,0
Sučasnì Problemi Ekonomìki ì Pìdpriêmnictvo,0
"Nanotechnology, Science and Applications",0
The International Journal of Management,1
International Conference on Computer Science and Engineering,1
Meghana Publications,1
Disability Studies Quarterly,0
Euphrosyne,0
Cuadernos para la Investigación de la Literatura Hispánica,0
TEFLIN Journal,0
تحقیقات جنگل و صنوبر ایران,0
Diagnostic and Prognostic Research,0
Global Scientific Research Journals,1
The Macrotheme Review,1
Look Academic Publishers,1
Hayula: Indonesian Journal of Multidisciplinary Islamic Studies,0
Acta Structilia,0
